sno,re_1,re_2,re_3,re_4,re_5,re_6,re_7,re_8,ar_re_1,ar_re_2,ar_re_3,ar_re_4,ar_re_5,ar_re_6,ar_re_7,ar_re_8,rea,le_1,le_2,le_3,le_4,le_5,le_6,le_7,le_8,ar_le_1,ar_le_2,ar_le_3,ar_le_4,ar_le_5,ar_le_6,ar_le_7,ar_le_8,lea,x,y
1,0.28078,0.25637,0.22551,0.18406,0.15195,0.25266,0.25422,0.28125,19:16:32,92:54:22,94:150:13,51:278:18,18:278:51,17:222:121,28:86:94,25:17:25,10.113952145791718,0.28125,0.2893,0.30668,0.20781,0.20066,0.22344,0.25559,0.28031,0:24:0,20:64:36,47:160:80,28:293:45,19:309:37,55:228:70,108:89:80,23:17:23,10.43747535111816,1,1
2,0.25496,0.25449,0.47672,0.33453,0.21156,0.3398,0.32203,0.28125,19:26:44,79:87:33,127:226:19,59:464:17,18:486:38,46:351:107,121:126:95,38:26:26,10.546034013090223,0.30934,0.68043,0.73793,0.28832,0.28719,0.41355,0.29961,0.27855,0:32:0,34:102:49,85:267:55,40:502:11,41:508:0,144:397:19,179:141:38,25:26:22,9.653786088536538,1,1
3,0.2775,0.30949,0.50094,0.42992,0.22379,0.28273,0.33582,0.28125,20:25:45,86:74:35,133:233:21,59:451:18,18:462:44,37:361:114,122:133:99,35:21:26,10.304846468766044,0.28691,0.68609,0.58844,0.23812,0.38953,0.45617,0.33953,0.29043,0:29:0,34:95:53,77:257:77,30:467:37,30:498:20,110:356:53,184:142:65,28:26:32,10.04202363552949,1,1
4,0.27969,0.28406,0.43566,0.34562,0.22953,0.3102,0.39832,0.28094,20:25:39,92:78:31,122:206:19,47:434:18,18:440:36,37:330:107,110:121:95,30:25:26,10.113952145791718,0.33141,0.64395,0.56309,0.25125,0.40281,0.43699,0.3559,0.28398,0:32:0,35:98:39,83:241:44,40:465:11,28:453:1,103:367:37,172:152:66,23:20:22,10.784297867562596,1,1
5,0.26812,0.26031,0.4182,0.27059,0.2566,0.44324,0.385,0.2875,19:25:39,94:78:31,119:200:19,56:413:17,18:438:36,35:319:111,115:134:99,31:25:25,9.918650626060806,0.31723,0.62242,0.71664,0.33871,0.35219,0.42164,0.3284,0.28125,0:29:0,35:90:44,83:229:58,40:447:30,28:451:18,101:348:37,174:144:61,28:23:22,10.251198750817453,1,1
6,0.25203,0.22344,0.45262,0.29047,0.2625,0.47504,0.39906,0.28406,20:23:38,96:71:31,124:179:18,65:418:18,19:426:35,27:317:107,101:140:98,31:25:25,10.27714058141243,0.3234,0.66652,0.70047,0.30535,0.32812,0.44273,0.34785,0.30004,0:29:0,36:86:48,76:228:68,28:428:28,28:451:18,98:348:36,179:142:51,28:26:26,9.955813704007786,1,1
7,0.28125,0.25863,0.35934,0.28746,0.24078,0.44516,0.42461,0.2902,16:20:39,96:75:31,117:183:18,56:427:18,18:440:36,37:330:107,98:127:94,31:28:28,10.332700515921768,0.32504,0.62117,0.69859,0.32395,0.32293,0.4191,0.35812,0.29953,0:29:0,27:90:39,68:234:68,30:454:30,30:465:18,98:357:37,172:158:55,23:22:24,10.601154863652134,1,1
8,0.28125,0.26129,0.3866,0.2348,0.22082,0.45422,0.37734,0.28172,16:20:41,89:73:29,137:202:19,74:402:18,18:405:41,37:344:111,107:125:93,31:25:25,10.525107871028357,0.30551,0.56648,0.63441,0.27137,0.30273,0.40047,0.32434,0.28125,0:29:0,26:90:43,76:234:73,30:441:46,28:465:38,109:345:42,183:152:60,20:19:25,9.659893078442302,1,1
9,0.27969,0.2543,0.37133,0.29121,0.25488,0.46547,0.4082,0.28875,16:20:36,89:73:21,137:199:13,74:388:18,18:387:51,28:322:130,89:128:92,35:24:27,10.525107871028357,0.28797,0.51289,0.67324,0.30688,0.2573,0.40961,0.3184,0.28516,0:29:0,25:90:43,68:229:73,30:437:48,28:435:36,117:352:44,173:138:51,25:26:30,9.904183212973862,1,1
10,0.27969,0.29922,0.44484,0.2977,0.19703,0.36059,0.33684,0.2809,16:20:36,96:75:21,117:189:13,56:399:17,18:422:35,27:301:104,99:122:91,32:22:28,9.813517859254635,0.28973,0.5632,0.59414,0.23688,0.33227,0.42422,0.32805,0.2848,0:29:0,32:98:43,76:228:54,28:428:10,30:462:1,97:332:36,165:135:47,21:22:24,10.728859298010095,1,1
11,0.28125,0.28125,0.40551,0.3484,0.20941,0.30531,0.34375,0.2818,16:20:41,96:82:33,125:193:18,56:427:18,18:440:36,27:317:103,101:145:99,31:28:28,10.656848246921276,0.30051,0.67039,0.62324,0.25953,0.37551,0.44457,0.33145,0.2882,0:29:0,41:100:54,72:214:54,30:454:30,28:436:19,98:340:44,179:137:62,28:23:28,9.802496715245269,1,1
12,0.28227,0.3266,0.46461,0.36559,0.20234,0.3025,0.3075,0.27457,19:23:38,89:71:29,128:182:19,78:411:19,18:399:52,37:301:122,104:117:100,35:21:25,10.167775487411356,0.29418,0.69883,0.63656,0.2668,0.41477,0.49234,0.34629,0.28484,0:29:0,36:86:48,76:223:73,30:437:49,28:419:37,98:323:63,170:130:75,27:25:33,10.19810084562339,1,1
13,0.28227,0.25785,0.39586,0.34965,0.2034,0.28398,0.31,0.28051,19:23:33,94:77:25,127:196:13,65:386:18,19:392:36,28:306:111,91:117:99,34:21:25,10.656848246921276,0.26832,0.54914,0.59418,0.28832,0.40863,0.4682,0.34414,0.28125,1:26:3,62:89:68,77:210:58,30:406:28,19:423:20,77:315:53,156:124:65,20:19:25,9.802496715245269,1,1
14,0.28125,0.2775,0.42164,0.36277,0.18492,0.25574,0.33566,0.28125,16:20:35,94:77:25,119:190:13,56:398:18,18:396:35,28:311:97,96:122:96,25:18:21,10.784297867562596,0.3152,0.65719,0.5309,0.26922,0.46734,0.42836,0.34965,0.2825,0:29:1,46:86:47,76:223:44,28:424:11,30:431:1,96:323:27,169:130:48,20:19:24,9.36650995701213,1,1
15,0.28125,0.2909,0.4125,0.34125,0.17754,0.28996,0.33578,0.28031,16:20:35,94:75:22,109:196:13,49:403:18,18:414:27,35:291:86,103:117:98,32:21:26,10.060689795322984,0.29578,0.69219,0.59152,0.25961,0.4748,0.46625,0.35285,0.28797,0:29:1,49:92:47,88:223:30,40:434:1,28:436:0,96:332:18,161:126:44,27:25:24,10.145544433896337,1,1
16,0.27383,0.245,0.39793,0.31152,0.16781,0.28227,0.39293,0.28125,16:20:35,94:75:23,109:196:13,47:388:17,17:393:36,27:293:92,99:122:97,32:22:28,10.827453103825361,0.31652,0.69988,0.55223,0.26117,0.47949,0.43484,0.34461,0.28371,1:29:3,54:86:53,83:217:44,37:404:10,27:395:1,96:323:27,158:130:44,20:19:24,9.412629436866185,1,1
17,0.28168,0.32363,0.44023,0.3859,0.19207,0.29578,0.37613,0.28008,16:19:33,94:66:22,119:176:13,56:377:18,18:389:36,19:299:107,70:117:96,30:20:23,10.827453103825361,0.28203,0.72082,0.65199,0.29992,0.47723,0.46891,0.31094,0.28141,1:25:3,54:83:53,68:212:49,28:378:28,19:395:19,77:307:44,144:121:57,25:25:25,10.007979801441312,1,1
18,0.27832,0.24824,0.41738,0.35898,0.18445,0.27164,0.36117,0.28125,23:24:37,108:77:25,142:202:13,58:424:19,18:424:36,30:325:123,91:117:100,31:22:28,11.768288932020628,0.28125,0.59422,0.57371,0.29504,0.43621,0.47129,0.36668,0.29117,5:29:13,73:90:74,68:229:58,30:437:30,28:419:19,86:324:55,161:143:65,26:26:25,8.658721232366947,1,1
19,0.27844,0.30203,0.45414,0.29707,0.19008,0.30488,0.32586,0.28141,19:25:36,94:85:25,144:217:14,78:444:18,19:440:47,28:348:135,107:142:97,30:28:23,11.933304092550092,0.28516,0.55527,0.58516,0.29719,0.43977,0.47742,0.3425,0.28539,0:26:3,43:91:73,76:242:68,30:473:30,30:482:18,114:366:38,184:142:51,33:33:30,7.9696103943214,1,1
20,0.28125,0.30992,0.46074,0.35422,0.2093,0.29164,0.31895,0.27789,15:20:37,85:71:22,140:198:14,93:421:18,19:435:48,28:326:131,109:125:102,34:21:25,11.534620653644708,0.28125,0.50129,0.52555,0.2791,0.45398,0.45762,0.34605,0.28426,0:25:1,40:92:77,54:235:83,20:455:50,30:447:36,117:343:45,160:143:51,24:26:24,8.447527247908491,1,1
21,0.28012,0.29723,0.40301,0.36066,0.18504,0.26566,0.33414,0.28125,15:21:34,87:76:19,130:180:13,77:404:19,19:393:47,30:302:130,91:111:108,25:16:19,11.933304092550092,0.2702,0.55598,0.58344,0.27723,0.45137,0.4818,0.34219,0.28125,0:29:3,44:91:79,53:218:74,20:409:49,30:424:38,98:298:53,171:113:60,24:22:22,8.530765609948096,1,1
22,0.28027,0.29574,0.45789,0.34141,0.19461,0.30488,0.31469,0.27789,17:24:36,81:72:22,121:195:13,58:413:18,18:437:38,28:326:107,94:124:98,32:21:26,11.138559766183647,0.29566,0.63852,0.50434,0.25867,0.4818,0.42375,0.32781,0.28242,1:29:3,50:90:69,63:227:59,30:424:28,30:460:19,101:339:27,162:137:43,26:23:22,8.57299836361137,1,1
23,0.28039,0.28766,0.41035,0.39309,0.19961,0.27367,0.34199,0.27957,20:23:40,96:77:28,138:200:19,74:399:19,19:423:56,30:334:130,104:128:97,25:23:23,11.828171622918413,0.29336,0.60055,0.60035,0.28242,0.45867,0.44926,0.33391,0.28688,1:29:3,50:92:83,68:218:88,30:427:59,30:443:39,101:322:61,171:131:60,25:25:25,8.374259027599026,1,1
24,0.27852,0.30754,0.45566,0.35391,0.20254,0.28898,0.31852,0.28055,15:20:36,86:79:28,118:185:19,78:413:19,19:410:53,28:323:130,91:132:97,28:28:23,10.907661795498088,0.27965,0.57949,0.52891,0.26898,0.47777,0.43125,0.35062,0.28605,0:29:1,36:86:67,68:230:70,30:445:40,30:463:20,109:330:44,160:136:47,24:26:24,8.89831306446262,1,1
25,0.27812,0.29488,0.44691,0.36254,0.23086,0.31777,0.33773,0.28125,17:25:36,78:79:25,135:209:13,78:444:18,19:446:36,37:340:123,108:133:100,32:24:28,11.076549734168282,0.28328,0.57871,0.54312,0.26156,0.43469,0.46051,0.36953,0.28848,0:29:1,45:98:67,78:242:68,30:460:28,40:487:19,122:348:37,164:142:51,26:26:30,9.03296969897109,1,1
26,0.28191,0.30453,0.45203,0.34516,0.19898,0.29875,0.33258,0.27801,19:23:33,94:77:25,127:195:13,56:413:18,18:424:36,28:323:111,96:133:99,31:24:28,11.599595221116372,0.29598,0.63906,0.61777,0.28582,0.44375,0.45395,0.35074,0.28297,0:31:3,40:91:67,68:230:58,30:436:30,30:447:18,97:332:37,169:131:51,25:25:30,8.746162262555211,1,1
27,0.28125,0.26867,0.38133,0.39434,0.19574,0.26398,0.3548,0.28125,20:23:40,100:76:28,137:184:19,74:387:19,19:396:53,30:325:135,91:122:102,28:25:25,11.828171622918413,0.28125,0.57551,0.58156,0.29441,0.47574,0.46297,0.35211,0.28516,1:25:3,50:89:82,53:222:83,20:425:49,30:414:37,98:315:64,167:124:60,25:25:25,8.658721232366947,1,1
28,0.28125,0.29992,0.47219,0.33832,0.20277,0.31145,0.31684,0.28059,19:24:43,87:72:31,135:198:19,74:416:19,19:427:53,37:329:130,108:133:100,32:24:28,10.963389646329636,0.27277,0.6443,0.59949,0.28539,0.46008,0.46062,0.35766,0.28574,0:29:1,43:95:71,76:236:73,30:455:49,28:451:36,117:351:55,164:135:65,26:26:32,8.987637298208424,1,1
29,0.28051,0.29336,0.45492,0.34918,0.2034,0.28953,0.31723,0.27922,15:21:40,86:77:22,119:199:13,59:423:18,17:410:36,28:317:122,94:123:109,32:21:26,11.019682781034545,0.28934,0.6357,0.57309,0.28371,0.46797,0.46609,0.34535,0.28242,2:29:7,64:90:68,63:218:58,30:436:30,30:447:18,98:332:37,156:125:51,25:23:21,8.987637298208424,1,1
30,0.28023,0.27867,0.44055,0.34242,0.18383,0.28141,0.32066,0.28012,19:23:38,87:71:31,129:189:19,74:398:19,19:410:53,27:313:131,107:129:100,35:21:25,11.42710159394516,0.35965,0.70504,0.51117,0.26312,0.50336,0.41156,0.34023,0.29148,0:29:1,43:90:58,68:229:73,28:424:48,30:447:36,96:332:55,166:135:65,26:26:32,8.50187941148146,1,1
31,0.28125,0.28242,0.40906,0.40395,0.22539,0.28102,0.34457,0.27945,19:23:38,94:82:35,129:202:19,74:430:18,19:440:47,40:348:131,107:132:98,30:28:23,11.780523776915432,0.29996,0.71598,0.54555,0.26875,0.48617,0.43988,0.35758,0.29387,1:29:3,54:90:72,68:234:83,28:428:46,30:478:38,101:348:55,171:150:65,26:26:25,8.545281895300844,1,1
32,0.2816,0.29539,0.4557,0.38527,0.18316,0.27508,0.33734,0.28125,19:23:38,94:77:35,128:198:19,66:417:19,18:399:53,28:323:130,104:129:99,25:18:21,11.309932474020195,0.36758,0.71734,0.56336,0.26094,0.50645,0.4602,0.34086,0.28922,0:29:1,48:96:64,62:218:73,30:437:48,19:444:36,78:348:55,173:137:71,28:23:29,9.21892613810746,1,1
33,0.2741,0.27676,0.44211,0.37324,0.19258,0.28414,0.32781,0.28031,19:23:38,89:71:31,134:206:21,65:406:17,19:426:36,28:348:111,104:133:98,30:25:26,10.896890755325513,0.42242,0.7543,0.54352,0.28008,0.52762,0.45191,0.36574,0.29074,0:29:1,46:90:53,83:229:58,40:447:30,28:451:18,97:348:36,173:137:62,28:23:28,9.171729030165967,1,1
34,0.28059,0.30457,0.48742,0.38223,0.23902,0.34152,0.35488,0.28125,23:24:37,103:71:22,135:181:13,77:410:18,18:399:35,28:311:107,86:124:98,37:21:25,10.601154863652134,0.3434,0.76215,0.55207,0.29293,0.53895,0.45945,0.36305,0.28125,1:23:7,53:82:81,65:218:73,28:395:46,19:427:36,81:342:53,168:125:65,28:25:25,9.70285723285239,1,1
35,0.27688,0.29824,0.44246,0.37266,0.24043,0.31812,0.3375,0.28125,23:25:35,95:75:28,134:198:19,58:440:18,18:440:36,28:332:123,91:128:100,34:24:28,11.129189289611201,0.32,0.74469,0.58164,0.29523,0.4966,0.49812,0.36828,0.29266,1:24:3,63:91:66,71:218:68,30:441:28,28:436:19,97:349:45,175:156:60,28:26:32,9.955813704007786,1,1
36,0.27777,0.28957,0.44199,0.38199,0.20137,0.31254,0.37293,0.27895,22:27:47,105:78:31,153:206:19,74:429:19,19:441:53,37:353:132,125:136:100,32:22:28,11.546690545927344,0.30562,0.68539,0.64539,0.2984,0.47215,0.4948,0.36922,0.28395,2:29:7,68:90:80,84:234:83,40:451:46,28:466:39,98:348:71,179:142:79,28:26:27,9.21892613810746,1,1
37,0.28125,0.28516,0.45633,0.36293,0.2077,0.30352,0.315,0.28125,15:20:35,103:73:25,137:199:21,77:411:19,19:410:53,28:322:130,91:124:106,34:21:26,11.368219106520904,0.28516,0.67051,0.63531,0.28156,0.4732,0.4877,0.36395,0.28406,0:26:1,53:96:71,62:208:90,30:407:64,20:435:58,78:323:79,166:130:88,27:25:33,9.319321391359523,1,1
38,0.28051,0.30965,0.46379,0.34906,0.1841,0.30449,0.34121,0.28125,20:21:36,100:62:22,130:179:13,77:375:19,18:365:53,19:302:131,72:119:98,26:16:19,10.840305454330533,0.28125,0.72359,0.61965,0.27984,0.48727,0.47316,0.33992,0.28125,1:25:3,50:78:67,68:205:73,28:390:48,19:395:37,70:317:71,149:120:79,25:25:25,9.36650995701213,1,1
39,0.28125,0.30082,0.41383,0.36004,0.16531,0.25914,0.33906,0.28125,19:23:33,99:71:22,136:187:13,74:381:19,19:392:53,27:299:130,89:123:92,26:18:22,11.368219106520904,0.28906,0.71547,0.55566,0.29039,0.51359,0.43113,0.33074,0.28125,0:25:0,36:83:47,68:217:74,30:418:48,28:417:36,97:315:53,175:124:65,27:25:32,8.790543182813945,1,1
40,0.28141,0.28938,0.4098,0.35496,0.17195,0.25938,0.34684,0.28059,23:24:41,100:71:31,125:189:19,56:398:19,18:408:53,27:286:122,89:126:100,31:23:28,11.076549734168282,0.33773,0.71699,0.46516,0.24742,0.53977,0.41996,0.35723,0.2882,0:26:1,46:87:59,68:229:58,30:437:30,28:419:19,97:323:44,175:130:57,28:23:28,9.078757865988958,1,1
