image_name,0,1,2,3,4,5,6,7,8
2025-05-23 23:49:52.786650,"[0.5590221881866455, 0.613571047782898, -0.007112637162208557, 0.9741460084915161]","[0.5632825493812561, 0.6101466417312622, -0.01628790982067585, 0.9692790508270264]","[0.5638599395751953, 0.6105359792709351, -0.016308587044477463, 0.9739958047866821]","[0.5644107460975647, 0.610925018787384, -0.016294481232762337, 0.9748710989952087]","[0.562707245349884, 0.6112340688705444, -0.0025477558374404907, 0.9552567601203918]","[0.5629346370697021, 0.6125198602676392, -0.002524581039324403, 0.9554898142814636]","[0.563174843788147, 0.6138919591903687, -0.0024969754740595818, 0.9475129842758179]","[0.5661361217498779, 0.6204607486724854, -0.042403850704431534, 0.9793518781661987]","[0.5646055936813354, 0.6245661973953247, 0.02132655866444111, 0.9544349312782288]"
2025-05-23 23:49:53.163631,"[0.5324901938438416, 0.7039980888366699, -0.29682064056396484, 0.9766477942466736]","[0.5280319452285767, 0.7095427513122559, -0.3068278431892395, 0.972294270992279]","[0.5264487266540527, 0.7064042091369629, -0.30678170919418335, 0.9765264391899109]","[0.5248812437057495, 0.7033491134643555, -0.30677515268325806, 0.9773198962211609]","[0.5326926708221436, 0.719127357006073, -0.30700936913490295, 0.9596835970878601]","[0.5342646837234497, 0.7221997380256653, -0.3071345388889313, 0.9598815441131592]","[0.535835325717926, 0.7252741456031799, -0.30722931027412415, 0.9527152180671692]","[0.5210742354393005, 0.7009713053703308, -0.2836129367351532, 0.9812912344932556]","[0.5377711057662964, 0.7330870628356934, -0.28414878249168396, 0.9589672088623047]"
2025-05-23 23:49:53.325662,"[0.5244431495666504, 0.6892216801643372, -0.24306119978427887, 0.9787790775299072]","[0.5217919945716858, 0.6923181414604187, -0.24926696717739105, 0.9748508930206299]","[0.5207916498184204, 0.6905795335769653, -0.24921907484531403, 0.978631317615509]","[0.5197978615760803, 0.688947856426239, -0.2492055594921112, 0.9793420433998108]","[0.5247586369514465, 0.6982590556144714, -0.24925115704536438, 0.9635319113731384]","[0.5256197452545166, 0.7001171708106995, -0.24936655163764954, 0.9636590480804443]","[0.5264754295349121, 0.7019580006599426, -0.24946662783622742, 0.9572336077690125]","[0.5160951018333435, 0.6902048587799072, -0.22530856728553772, 0.9828611016273499]","[0.5270622968673706, 0.7103539109230042, -0.22432519495487213, 0.9629711508750916]"
2025-05-23 23:49:53.425734,"[0.5189449191093445, 0.7017150521278381, -0.24455277621746063, 0.9759370684623718]","[0.5150248408317566, 0.7057464122772217, -0.25289851427078247, 0.9709774255752563]","[0.513896107673645, 0.7029653191566467, -0.2528667747974396, 0.975097119808197]","[0.5127741694450378, 0.7003138065338135, -0.2528437376022339, 0.9752493500709534]","[0.5181578397750854, 0.7147963643074036, -0.2527781128883362, 0.9624577164649963]","[0.5188670754432678, 0.7178089022636414, -0.25287047028541565, 0.9616921544075012]","[0.519557774066925, 0.7207959294319153, -0.2529999613761902, 0.9554272890090942]","[0.5066823363304138, 0.7010059356689453, -0.2358085960149765, 0.9751772284507751]","[0.5184084177017212, 0.7314509749412537, -0.2335505336523056, 0.9633679389953613]"
2025-05-23 23:49:53.524720,"[0.5299191474914551, 0.6748136878013611, -0.28616318106651306, 0.9782799482345581]","[0.5225069522857666, 0.6763405799865723, -0.28129884600639343, 0.9738233089447021]","[0.5206756591796875, 0.6745477914810181, -0.28130632638931274, 0.9775162935256958]","[0.5187946557998657, 0.6729944348335266, -0.2813114821910858, 0.9776743054389954]","[0.5267329216003418, 0.6841028928756714, -0.2861641049385071, 0.9661774039268494]","[0.5275922417640686, 0.6873927116394043, -0.28626540303230286, 0.9654817581176758]","[0.5284735560417175, 0.6907725930213928, -0.2863404452800751, 0.9598503112792969]","[0.5084693431854248, 0.6772386431694031, -0.22694160044193268, 0.9774937033653259]","[0.524791419506073, 0.7067962288856506, -0.24783481657505035, 0.9669932723045349]"
2025-05-23 23:49:53.667801,"[0.5284879803657532, 0.6799842715263367, -0.4247897267341614, 0.980450451374054]","[0.5218074321746826, 0.6833861470222473, -0.4290333092212677, 0.9764392971992493]","[0.5195642709732056, 0.6801769137382507, -0.42905503511428833, 0.9797623157501221]","[0.5173134207725525, 0.6771327257156372, -0.4291386604309082, 0.9799045920372009]","[0.5274556875228882, 0.6937876343727112, -0.4307851195335388, 0.9695584774017334]","[0.5290539860725403, 0.6975731253623962, -0.4308845102787018, 0.9689323306083679]","[0.5306450724601746, 0.7014163732528687, -0.4309066832065582, 0.9638643264770508]","[0.5072476863861084, 0.6773768067359924, -0.3749503195285797, 0.9797387719154358]","[0.5283426642417908, 0.7145720720291138, -0.38193854689598083, 0.970292866230011]"
2025-05-23 23:49:53.760572,"[0.5322932600975037, 0.674263596534729, -0.31079238653182983, 0.9821414947509766]","[0.5285260677337646, 0.6740864515304565, -0.3198990225791931, 0.9785211682319641]","[0.5272001028060913, 0.6720856428146362, -0.31993037462234497, 0.9815284013748169]","[0.524874746799469, 0.6702141165733337, -0.3199964165687561, 0.9814901351928711]","[0.5357968807220459, 0.681686520576477, -0.3220793306827545, 0.9723950028419495]","[0.5400195717811584, 0.6846022009849548, -0.32217922806739807, 0.9718999266624451]","[0.5437051057815552, 0.6875612139701843, -0.3222426474094391, 0.9673420786857605]","[0.5145896673202515, 0.6738068461418152, -0.2940730154514313, 0.9810425043106079]","[0.5424036383628845, 0.7011704444885254, -0.30201640725135803, 0.9731466174125671]"
2025-05-23 23:49:53.861470,"[0.5297793745994568, 0.6526861786842346, -0.35006099939346313, 0.983905017375946]","[0.5251407027244568, 0.6525896787643433, -0.35322853922843933, 0.9806468486785889]","[0.5233895182609558, 0.6498416662216187, -0.35320383310317993, 0.9833437204360962]","[0.5214375257492065, 0.6472474336624146, -0.3531995713710785, 0.9833065867424011]","[0.5310115814208984, 0.6604080200195312, -0.3535836338996887, 0.9751420021057129]","[0.5333709716796875, 0.6627188920974731, -0.3536699712276459, 0.9746899604797363]","[0.535649836063385, 0.6649898886680603, -0.3537460267543793, 0.9705905914306641]","[0.5153451561927795, 0.6507977247238159, -0.3028402030467987, 0.9828230738639832]","[0.5372761487960815, 0.6775954365730286, -0.30308640003204346, 0.9758151769638062]"
2025-05-23 23:49:53.959928,"[0.5334925055503845, 0.5541361570358276, -0.30254653096199036, 0.984926700592041]","[0.5331817269325256, 0.565953254699707, -0.3173762857913971, 0.9822630882263184]","[0.5295261144638062, 0.5678498148918152, -0.31742462515830994, 0.9847816824913025]","[0.5252267718315125, 0.5697965025901794, -0.317556768655777, 0.984670877456665]","[0.5441322326660156, 0.5640966296195984, -0.3109859824180603, 0.9769702553749084]","[0.5480611324310303, 0.5643087029457092, -0.3110576570034027, 0.9768010377883911]","[0.5518007874488831, 0.5645689964294434, -0.3110887110233307, 0.9731593132019043]","[0.5236485004425049, 0.5828119516372681, -0.31477460265159607, 0.984242856502533]","[0.5582125782966614, 0.5786790251731873, -0.2859196066856384, 0.978002667427063]"
2025-05-23 23:49:54.062014,"[0.539764940738678, 0.4508368670940399, -0.2891165316104889, 0.9860010743141174]","[0.5376271605491638, 0.454852432012558, -0.2997560501098633, 0.9837757349014282]","[0.5332814455032349, 0.4544203281402588, -0.2998078763484955, 0.9860460758209229]","[0.5277174115180969, 0.4540405571460724, -0.2999310791492462, 0.9858605861663818]","[0.5487534403800964, 0.4595952033996582, -0.2975969612598419, 0.9789732694625854]","[0.5522145628929138, 0.4619753658771515, -0.2976889908313751, 0.9788877964019775]","[0.5555201768875122, 0.4644160866737366, -0.29771557450294495, 0.9755836129188538]","[0.52469801902771, 0.4692457914352417, -0.2862662971019745, 0.9855399131774902]","[0.5585909485816956, 0.4881001114845276, -0.2772220969200134, 0.9800183176994324]"
2025-05-23 23:49:54.161008,"[0.5158242583274841, 0.4010085463523865, -0.3285452127456665, 0.9869669079780579]","[0.5254214406013489, 0.3921976387500763, -0.34597164392471313, 0.9852049946784973]","[0.526084303855896, 0.39540356397628784, -0.3459874391555786, 0.9872459769248962]","[0.5258519649505615, 0.39861780405044556, -0.3461640477180481, 0.9871340394020081]","[0.524954080581665, 0.3841223120689392, -0.33384278416633606, 0.9807892441749573]","[0.5253410339355469, 0.3815962076187134, -0.33392152190208435, 0.9806194305419922]","[0.5256339311599731, 0.3790796995162964, -0.33394110202789307, 0.9776628613471985]","[0.5286204218864441, 0.4142102897167206, -0.3472377061843872, 0.9869074821472168]","[0.5334295034408569, 0.3876902461051941, -0.29316672682762146, 0.9817669987678528]"
2025-05-23 23:49:54.345543,"[0.5204707384109497, 0.414361834526062, -0.6421163082122803, 0.988254189491272]","[0.5430341958999634, 0.3542062044143677, -0.5961341857910156, 0.9866477251052856]","[0.5596632361412048, 0.3599696159362793, -0.5959200263023376, 0.9884924292564392]","[0.5753869414329529, 0.365993857383728, -0.5961186289787292, 0.9883900880813599]","[0.492796927690506, 0.3516254425048828, -0.5927420854568481, 0.9826740622520447]","[0.4770945608615875, 0.35471200942993164, -0.5919411182403564, 0.9825263023376465]","[0.46187087893486023, 0.35824334621429443, -0.5923803448677063, 0.9798611998558044]","[0.6030616164207458, 0.4276163578033447, -0.2949226200580597, 0.9881781935691833]","[0.43767207860946655, 0.41990983486175537, -0.27221477031707764, 0.9835568070411682]"
2025-05-23 23:49:54.463711,"[0.5233123302459717, 0.41234472393989563, -0.6190621852874756, 0.9894116520881653]","[0.5444411039352417, 0.35421544313430786, -0.5747989416122437, 0.9879427552223206]","[0.5606361627578735, 0.3600866496562958, -0.5744640827178955, 0.9896100163459778]","[0.576251208782196, 0.3663719892501831, -0.5744844675064087, 0.9895169138908386]","[0.4964694082736969, 0.3511119484901428, -0.5680572986602783, 0.9843723773956299]","[0.48049572110176086, 0.3541985750198364, -0.5672733187675476, 0.9842402935028076]","[0.4656672477722168, 0.35809752345085144, -0.5676085948944092, 0.9818388223648071]","[0.6020219326019287, 0.42752447724342346, -0.29481586813926697, 0.9893129467964172]","[0.44314247369766235, 0.42017483711242676, -0.25978168845176697, 0.9851610660552979]"
2025-05-23 23:49:54.562208,"[0.5234520435333252, 0.41494837403297424, -0.6122234463691711, 0.9904555678367615]","[0.5450025796890259, 0.36234045028686523, -0.5685255527496338, 0.9891083836555481]","[0.560827910900116, 0.3682122826576233, -0.5681836009025574, 0.9906154870986938]","[0.5763078331947327, 0.37465912103652954, -0.568233072757721, 0.9905279278755188]","[0.498973548412323, 0.3581848442554474, -0.5587725043296814, 0.9859035611152649]","[0.4834560453891754, 0.3615947365760803, -0.5580087900161743, 0.9857892394065857]","[0.46908122301101685, 0.36618471145629883, -0.5583494901657104, 0.983626127243042]","[0.601255476474762, 0.4315726161003113, -0.29367533326148987, 0.9903315901756287]","[0.44848668575286865, 0.42354798316955566, -0.24169759452342987, 0.9866171479225159]"
2025-05-23 23:49:54.662879,"[0.5232831835746765, 0.4166148006916046, -0.5709425806999207, 0.9913781881332397]","[0.5451041460037231, 0.3644588887691498, -0.534824550151825, 0.9901158213615417]","[0.5608590841293335, 0.3704438805580139, -0.5344678163528442, 0.9914906620979309]","[0.5762946605682373, 0.37697985768318176, -0.5344039797782898, 0.9914079904556274]","[0.4990170896053314, 0.3596574366092682, -0.5305665731430054, 0.9872468113899231]","[0.4834337532520294, 0.36307990550994873, -0.5298400521278381, 0.9871525764465332]","[0.4691501557826996, 0.36804527044296265, -0.5302134156227112, 0.985200047492981]","[0.601091742515564, 0.4328247606754303, -0.28895920515060425, 0.9911944270133972]","[0.4498461186885834, 0.42508232593536377, -0.24336916208267212, 0.9878889918327332]"
2025-05-23 23:49:54.758519,"[0.5231825113296509, 0.4321942925453186, -0.6393909454345703, 0.9922271966934204]","[0.5452605485916138, 0.3794865906238556, -0.59918212890625, 0.9910666346549988]","[0.5609607696533203, 0.3840712308883667, -0.5988282561302185, 0.9923130869865417]","[0.5763275623321533, 0.3888937532901764, -0.5988123416900635, 0.9922333359718323]","[0.4989836513996124, 0.37505146861076355, -0.5943466424942017, 0.988491952419281]","[0.4834132492542267, 0.3775974214076996, -0.5935837626457214, 0.9884122014045715]","[0.4690939486026764, 0.38149428367614746, -0.5938574075698853, 0.9866499304771423]","[0.6010965704917908, 0.4405333697795868, -0.31995677947998047, 0.9920288920402527]","[0.4496285319328308, 0.4334476888179779, -0.2822580337524414, 0.9890685081481934]"
2025-05-23 23:49:54.859241,"[0.5245850086212158, 0.46755319833755493, -0.6158531904220581, 0.9929966926574707]","[0.5485993027687073, 0.3989996314048767, -0.5770119428634644, 0.9919403791427612]","[0.5639325976371765, 0.40149158239364624, -0.5767046809196472, 0.9930649995803833]","[0.5797999501228333, 0.40451064705848694, -0.5765845775604248, 0.9929909706115723]","[0.500158965587616, 0.39744600653648376, -0.5737231969833374, 0.9896274209022522]","[0.48361170291900635, 0.39963942766189575, -0.5728667974472046, 0.9895577430725098]","[0.4691033661365509, 0.4030393064022064, -0.5731034874916077, 0.9879711270332336]","[0.603063702583313, 0.4472191333770752, -0.30444929003715515, 0.9927988052368164]","[0.44915542006492615, 0.44364839792251587, -0.27169179916381836, 0.9901485443115234]"
2025-05-23 23:49:54.961246,"[0.5277994871139526, 0.5129683613777161, -0.6860191226005554, 0.9936810731887817]","[0.5535831451416016, 0.42798247933387756, -0.6539250016212463, 0.9927067160606384]","[0.5697235465049744, 0.4279254078865051, -0.6536887288093567, 0.9937217831611633]","[0.586044192314148, 0.4291061758995056, -0.6536024808883667, 0.9936490654945374]","[0.5020707845687866, 0.431386798620224, -0.6526986956596375, 0.990635335445404]","[0.4843432307243347, 0.43398943543434143, -0.6518949866294861, 0.9905760288238525]","[0.46931472420692444, 0.4375143349170685, -0.6520916223526001, 0.9891478419303894]","[0.6089561581611633, 0.46401968598365784, -0.36979952454566956, 0.9934622645378113]","[0.44847723841667175, 0.4686119854450226, -0.3464827835559845, 0.9911119341850281]"
2025-05-23 23:49:55.061573,"[0.5382558107376099, 0.5372275710105896, -0.6767263412475586, 0.9942956566810608]","[0.5625264644622803, 0.4501287639141083, -0.6441664099693298, 0.9933932423591614]","[0.5789386034011841, 0.44850611686706543, -0.6438378095626831, 0.9943090677261353]","[0.5948913097381592, 0.4478960931301117, -0.6437829732894897, 0.9942417740821838]","[0.508385419845581, 0.45567619800567627, -0.6470186710357666, 0.9915425777435303]","[0.4885067939758301, 0.458568811416626, -0.6461681723594666, 0.99149090051651]","[0.47186294198036194, 0.46237966418266296, -0.6463193297386169, 0.9902068376541138]","[0.6142617464065552, 0.47587794065475464, -0.3678472340106964, 0.9940534234046936]","[0.44842129945755005, 0.48961663246154785, -0.370510458946228, 0.9919768571853638]"
2025-05-23 23:49:55.159861,"[0.5408976674079895, 0.5951727032661438, -0.659379780292511, 0.9948488473892212]","[0.5643163919448853, 0.5025233626365662, -0.6359058618545532, 0.994010865688324]","[0.5804471969604492, 0.4999285042285919, -0.6356443762779236, 0.9948373436927795]","[0.5960703492164612, 0.49797821044921875, -0.6356059908866882, 0.9947739243507385]","[0.5101996064186096, 0.5048098564147949, -0.637278139591217, 0.9923558831214905]","[0.4898450970649719, 0.5053679943084717, -0.6364801526069641, 0.9923107624053955]","[0.47278594970703125, 0.5068356394767761, -0.6367721557617188, 0.9911563396453857]","[0.6153154969215393, 0.5055174827575684, -0.3636634647846222, 0.9945921301841736]","[0.44812268018722534, 0.5186019539833069, -0.3492853045463562, 0.9927561283111572]"
2025-05-23 23:49:55.260579,"[0.5599425435066223, 0.6162277460098267, -0.7734029293060303, 0.995236873626709]","[0.5768852233886719, 0.5172917246818542, -0.7514771819114685, 0.9943514466285706]","[0.5916754603385925, 0.5145167708396912, -0.7513086199760437, 0.9950897097587585]","[0.6061177849769592, 0.5113292336463928, -0.7514594793319702, 0.9950365424156189]","[0.5234951972961426, 0.5207961201667786, -0.7592364549636841, 0.9929333329200745]","[0.5007414817810059, 0.5214248895645142, -0.7584232091903687, 0.9928743243217468]","[0.48079463839530945, 0.523234486579895, -0.7586312890052795, 0.9918481111526489]","[0.620968222618103, 0.5131855607032776, -0.4519496262073517, 0.9947772026062012]","[0.44808095693588257, 0.5326847434043884, -0.46524354815483093, 0.9933220744132996]"
2025-05-23 23:49:55.358512,"[0.6018249988555908, 0.605247974395752, -0.735586941242218, 0.9956336617469788]","[0.6086812615394592, 0.5145811438560486, -0.7091885209083557, 0.9947198033332825]","[0.6207370162010193, 0.5131313800811768, -0.7089559435844421, 0.9954063296318054]","[0.6331335306167603, 0.5116658806800842, -0.7090458273887634, 0.9953320026397705]","[0.5628484487533569, 0.5146352052688599, -0.7063362002372742, 0.9935075044631958]","[0.5397196412086487, 0.5138469338417053, -0.7055534720420837, 0.9934752583503723]","[0.5171226859092712, 0.5137609243392944, -0.7057947516441345, 0.9925451874732971]","[0.6290168166160583, 0.5168778300285339, -0.4244175851345062, 0.9950297474861145]","[0.4639715552330017, 0.5254692435264587, -0.4716867506504059, 0.9939148426055908]"
2025-05-23 23:49:55.459697,"[0.6467586755752563, 0.5919972062110901, -0.7390340566635132, 0.9958295822143555]","[0.6449094414710999, 0.505093514919281, -0.7001215815544128, 0.9947576522827148]","[0.6527182459831238, 0.5044822096824646, -0.6999607682228088, 0.9954334497451782]","[0.6606894731521606, 0.5038808584213257, -0.70001620054245, 0.9952802062034607]","[0.6085414290428162, 0.5038557648658752, -0.7324944734573364, 0.993779718875885]","[0.5890634655952454, 0.5026972889900208, -0.7319608926773071, 0.9938006401062012]","[0.5688478946685791, 0.5022556781768799, -0.7322696447372437, 0.9929253458976746]","[0.6355032324790955, 0.5141304135322571, -0.4078667461872101, 0.9948842525482178]","[0.5034441351890564, 0.5203651189804077, -0.5700761079788208, 0.9942890405654907]"
2025-05-23 23:49:55.561369,"[0.6703327894210815, 0.59200519323349, -0.7231756448745728, 0.9959102272987366]","[0.6650462746620178, 0.5077909231185913, -0.686479389667511, 0.9947145581245422]","[0.6692740321159363, 0.5072437524795532, -0.6862676739692688, 0.9953086972236633]","[0.6741087436676025, 0.5066813826560974, -0.6863582134246826, 0.9951812624931335]","[0.637608528137207, 0.5054880976676941, -0.7184737920761108, 0.9939531087875366]","[0.6204715967178345, 0.503182590007782, -0.7179353833198547, 0.9939382672309875]","[0.6025254726409912, 0.5009741187095642, -0.7182980179786682, 0.9931727051734924]","[0.6357973217964172, 0.5150177478790283, -0.40609848499298096, 0.9947544932365417]","[0.5321023464202881, 0.5159561634063721, -0.5687159299850464, 0.9945411682128906]"
